Species,Simple,Complex,Regen,Timber,Light,Shade
Karet,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Jengkol,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Petai,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Kabau,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Durian,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Durian hutan,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Manggis,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Duku,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Alpukat,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Nangka,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Mangga,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Kemiri,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Jernang,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Pinang ,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Gaharu,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Pala,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Jabon,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Pulai,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Meranti Bunga,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
Cempedak,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Kopi,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Jeruk Lemon,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE